Event	ID	Name			Wwise Object Path	Notes
	128625444	Door_Close			\Default Work Unit\Door_Close	
	317282339	Weather			\Default Work Unit\Weather	
	352130103	Birds			\Default Work Unit\Birds	
	450457492	TeenPlayerFootstep			\Default Work Unit\Player Footsteps\TeenPlayerFootstep	
	493494752	Wrong_Password			\Default Work Unit\Wrong_Password	
	496050709	Volcano_Explosion			\Default Work Unit\Volcano_Explosion	
	519940196	Sarah_Laugh			\Default Work Unit\Sarah_Laugh	
	535830432	Door_Open			\Default Work Unit\Door_Open	
	688119423	Correct_Password			\Default Work Unit\Correct_Password	
	932683636	CFB			\Default Work Unit\CFB	
	969514050	ToddlerPlayerFootstep			\Default Work Unit\Player Footsteps\ToddlerPlayerFootstep	
	997675398	Pp1			\Default Work Unit\Pp1	
	1073037076	Random_tick			\Default Work Unit\Random_tick	
	1160236175	WeddingBells			\Default Work Unit\WeddingBells	
	1403540682	Keyboard			\Default Work Unit\Keyboard	
	1436086644	Tv_Static			\Default Work Unit\Tv_Static	
	1900150648	Wood_Floor_Jump_land			\Default Work Unit\Wood_Floor_Jump_land	
	1935470627	Light			\Default Work Unit\Light	
	2179486487	Heartbeat			\Default Work Unit\Heartbeat	
	2385628198	Footsteps			\Default Work Unit\Footsteps	
	2674457354	Start_Button			\Default Work Unit\Start_Button	
	2755031898	Tick			\Default Work Unit\Tick	
	2781521992	Music_box			\Default Work Unit\Music_box	
	2886972203	Back_Button			\Default Work Unit\Back_Button	
	2969906854	Tap_Drip			\Default Work Unit\Tap_Drip	
	3061740098	AdultPlayerFootstep			\Default Work Unit\Player Footsteps\AdultPlayerFootstep	
	3118867224	Cheering			\Default Work Unit\Cheering	
	3303065289	Vial			\Default Work Unit\Vial	
	3420485851	Volcano_Hiss			\Default Work Unit\Volcano_Hiss	
	3930794392	Quit			\Default Work Unit\Quit	
	4016454680	Laugh			\Default Work Unit\Laugh	

Switch Group	ID	Name			Wwise Object Path	Notes
	2775722229	Teen_Footsteps			\Default Work Unit\Teen_Footsteps	

Switch	ID	Name	Switch Group			Notes
	485222939	Toddler_Carpet	Teen_Footsteps			
	498501321	Teen_Carpet	Teen_Footsteps			
	2720435227	Adult_Carpet	Teen_Footsteps			
	3688067344	Adult_Floor	Teen_Footsteps			
	3863698192	Toddler_Floor	Teen_Footsteps			
	4197808738	Teen_Floor	Teen_Footsteps			

State Group	ID	Name			Wwise Object Path	Notes
	317282339	Weather			\Default Work Unit\Weather	

State	ID	Name	State Group			Notes
	748895195	None	Weather			
	3205863813	Indoor_Rain	Weather			
	4103860031	Indoors	Weather			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	13798568	Pick_up_paper_2	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Paper, Handle, Item Pick Up, Paper Note, Gameplay x4 SND103749 2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper_Pick_Up\Pick_up_paper_2		133264
	18786649	Clocks, Tick, Small 01 SND12577	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Clocks, Tick, Small 01 SND12577_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Random_Tick\Clocks, Tick, Small 01 SND12577		20096
	35307580	Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps\Teen_footsteps_carpet\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881		24596
	43716454	Bird_attenuation	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Ambience, Birdsong, Singing Birds, Early Morning SND11282_1EF118A1.wem		\Actor-Mixer Hierarchy\Default Work Unit\Bird_attenuation		19311736
	54265631	Inside house	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Inside house_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weather\Inside house		34752096
	63985974	Footsteps, Human, Carpet On Wooden Floor, Boots, Walking SND17394 5	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Footsteps, Human, Carpet On Wooden Floor, Boots, Walking SND17394 5_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps\Adult_Footsteps_Carpet\Footsteps, Human, Carpet On Wooden Floor, Boots, Walking SND17394 5		65356
	64261832	Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 1	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 1_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps\Teen_footsteps_carpet\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 1		31130
	80004331	Light_Switch	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Games, Arcade, Pinball, Twilight Zone, Button, Right Flipper Mech Triggered SND51899_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Light_Switch		186128
	115322293	Computers, Keyboard & Mouse, Keyboard, Apple Magic, Various, Characters, Single SND12142 14	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Computers, Keyboard & Mouse, Keyboard, Apple Magic, Various, Characters, Single SND12142 14_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Keyboard\Computers, Keyboard & Mouse, Keyboard, Apple Magic, Various, Characters, Single SND12142 14		26580
	125876295	Computers, Keyboard & Mouse, Keyboard, Apple Magic, Various, Characters, Single SND12142 15	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Computers, Keyboard & Mouse, Keyboard, Apple Magic, Various, Characters, Single SND12142 15_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Keyboard\Computers, Keyboard & Mouse, Keyboard, Apple Magic, Various, Characters, Single SND12142 15		28884
